begripCode;begripLabel;definitie
http://rightsstatements.org/vocab/InC/1.0/;RightsStatements -auteursrechtelijk beschermd;Op het informatieobject rusten intellectuele eigendomsrechten.
http://rightsstatements.org/vocab/InC-RUU/1.0/;RightsStatements -auteursrechtelijk beschermd - rechthebbende(n) niet-lokaliseerbaar of niet-identificeerbaar;Op het informatieobject rusten intellectuele eigendomsrechten, waarvan de houders onbekend of onvindbaar zijn.
http://rightsstatements.org/vocab/NoC-OKLR/1.0/;RightsStatements - niet auteursrechtelijk beschermd - andere juridische beperkingen;Op het informatieobject rusten geen intellectuele eigendomsrechten, maar wel andere wettelijke beperkingen.
http://rightsstatements.org/vocab/InC-OW-EU/1.0/;RightsStatements - auteursrechtelijk beschermd - EU verweesd werk;Het informatieobject is een verweesd werk conform het Europese recht.
http://rightsstatements.org/vocab/NoC-CR/1.0/;RightsStatements - niet auteursrechtelijk beschermd - contractuele beperkingen;Op het informatieobject rusten geen intellectuele eigendomsrechten, maar wel contractuele bepalingen die beperkingen stellen aan de beschikbaarstelling.
http://rightsstatements.org/vocab/CNE/1.0/;RightsStatements - auteursrechtelijke status niet geëvalueerd;Het van toepassing zijn van intellectuele eigendomsrechten op het informatieobject is niet beoordeeld.
http://rightsstatements.org/vocab/UND/1.0/;RightsStatements - auteursrechtelijke bescherming niet bepaald;Het van toepassing zijn van intellectuele eigendomsrechten op het informatieobject is niet vastgesteld
http://rightsstatements.org/vocab/NKC/1.0/;RightsStatements - geen auteursrechtelijke beperkingen bekend;Voor zover bekend rusten er op het informatieobject geen intellectuele eigendomsrechten.
