begripCode;begripLabel;definitie
https://creativecommons.org/publicdomain/mark/1.0/;Creative Commons Public Domain Mark 1.0 (PDM);Het informatieobject bevindt zich in het publieke domein en is daarmee vrij van auteursrechten.
https://creativecommons.org/publicdomain/zero/1.0/;Creative Commons Public Domain Dedication 1.0 (CC0);De rechthebbende verklaart dat het informatieobject behandeld mag worden als ware het een informatieobject dat zich bevindt in het publieke domein.
https://creativecommons.org/licenses/by/4.0/;Creative Commons Naamsvermelding 4.0 (CC BY);De rechthebbende verleent een licentie om het informatieobject op voorwaarde van naamsvermelding van de rechthebbende beschikbaar te stellen of her te gebruiken.
https://creativecommons.org/licenses/by-sa/4.0/;Creative Commons Naamsvermelding GelijkDelen 4.0 (CC BY-SA);De rechthebbende verleent een licentie om het informatieobject beschikbaar te stellen of her te gebruiken, op voorwaarde van naamsvermelding van de rechthebbende en verspreiding onder dezelfde licentievoorwaarden.
https://creativecommons.org/licenses/by-nc/4.0/;Creative Commons Naamsvermelding Niet-Commercieel 4.0 (CC BY-NC);De rechthebbende verleent een licentie om het informatieobject beschikbaar te stellen of her te gebruiken, op voorwaarde van naamsvermelding van de rechthebbende en gebruik voor niet-commerciële doeleinden.
https://creativecommons.org/licenses/by-nc-sa/4.0/;Creative Commons Naamsvermelding Niet-Commercieel GelijkDelen 4.0 (CC BY-NC-SA);De rechthebbende verleent een licentie om het informatieobject beschikbaar te stellen of her te gebruiken, op voorwaarde van naamsvermelding van de rechthebbende, gebruik voor niet-commerciële doeleinden en verspreiding onder dezelfde licentievoorwaarden.
https://creativecommons.org/licenses/by-nd/4.0/;Creative Commons Naamsvermelding GeenAfgeleideWerken 4.0 (CC BY-ND);De rechthebbende verleent een licentie om het informatieobject beschikbaar te stellen of her te gebruiken, op voorwaarde van naamsvermelding en verspreiding in ongewijzigde vorm.
https://creativecommons.org/licenses/by-nc-nd/4.0/;Creative Commons Naamsvermelding Niet-Commercieel GeenAfgeleideWerken 4.0 (CC BY-NC-ND);"De rechthebbende verleent een licentie om het informatieobject beschikbaar te stellen, op voorwaarde van naamsvermelding van de rechthebbende en gebruik voor niet-commerciële doeleinden; hergebruik in gewijzigde vorm is niet toegestaan."
