begripCode;begripLabel;definitie
IntellectueelEigendom/Auteurswet/Voorbehoud-Journalistiek/1.0;Auteursrecht voorbehouden op overname van artikelen of berichten van journalistieke aard (Auteurswet);Op grond van artikel 15 lid 1 sub 4 van de Auteurswet oefent de rechthebbende zijn recht uit om een voorbehoud te plaatsen bij het gebruik van het informatieobject voor overname door een journalistiek medium.
IntellectueelEigendom/Auteurswet/Voorbehoud-OpenbareMacht /1.0;Auteursrecht voorbehouden op door of vanwege de openbare macht openbaar gemaakte werken (Auteurswet);Op grond van artikel 15b van de Auteurswet oefent de rechthebbende zijn recht uit om een voorbehoud te plaatsen bij verdere openbaarmaking of verveelvoudiging van het informatieobject, dat door of vanwege de openbare macht openbaar is gemaakt.
IntellectueelEigendom/Auteurswet/NietToegestaan-BeslotenBeschikbaarstelling-/1.0;Beschikbaarstelling in een besloten netwerk contractueel niet toegestaan (Auteurswet);Op grond van artikel 15h van de Auteurswet is met de rechthebbende overeengekomen dat beschikbaarstelling van het informatieobject binnen een besloten netwerk niet is toegestaan.
IntellectueelEigendom/Auteurswet/Voorbehoud-TekstEnDatamining-n/1.0;Auteursrecht voorbehouden op gebruik voor tekst- en datamining (Auteurswet);Op grond van artikel 15o van de Auteurswet oefent de rechthebbende zijn recht uit om een voorbehoud te plaatsen bij het gebruik van het informatieobject voor tekst- en datamining.
IntellectueelEigendom/Auteurswet/Toegestaan-VastleggingUitzending-/1.0;Vastlegging door uitzending toegestaan (Auteurswet);Op grond van artikel 17b lid 1 van de Auteurswet is met de rechthebbende overeengekomen dat vastlegging van het werk bij openbaarmaking door uitzending via radio of televisie is toegestaan.
IntellectueelEigendom/Auteurswet/Toegestaan-OpenbaarmakingPortret/1.0;Openbaarmaking van portret toegestaan (Auteurswet);Op grond van artikel 20 lid 1 van de Auteurswet is de rechthebbende met de geportretteerde of diens nabestaanden overeengekomen dat openbaarmaking is toegestaan.
IntellectueelEigendom/Auteurswet/NietToegestaan-Tentoonstelling-/1.0;Verveelvoudiging voor tentoonstelling of verkoop niet toegestaan (Auteurswet);Op grond van artikel 23 van de Auteurswet is met de rechthebbende overeengekomen dat verveelvoudiging of openbaarmaking voor een openbare tentoonstelling of openbare verkoop niet is toegestaan.
IntellectueelEigendom/Auteurswet/NietToegestaan-GelijkeSchilderwerken-/1.0;Vervaardiging van gelijke werken niet toegestaan (Auteurswet);Op grond van artikel 24 van de Auteurswet is met de rechthebbende overeengekomen dat de vervaardiging van gelijke schilderwerken niet is toegestaan.
